kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
metadata,,Teaching,Teaching History,Teaching History at UNSW-Canberra.,complete.html#teaching,,,,,Teaching,Teaching History at UNSW-Canberra,2,heading
group,Teaching History at UNSW-Canberra,,,,,,Original teaching category retained.,,,Teaching,Teaching History at UNSW-Canberra,2,heading
featured,,Teaching History at UNSW-Canberra,,,,Teaching,,,,Teaching,Teaching History at UNSW-Canberra,2,heading
item,Teaching History at UNSW-Canberra,Teaching History at UNSW-Canberra,,,,Teaching,,,,Teaching,Teaching History at UNSW-Canberra,2,heading
