kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
item,PhD Theses,"Part-time Ph.D. 2008-2016 Dr. Alan White [Thesis] Tendering Campaigns for Strategic Defence Equipment. Principal Supervisor: Edward Lewis, Co-Supervisor: Hussein Abbass",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_40703&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Hussein%20Abbass&offset=0",Open thesis,Team,PhD Theses,37,list
item,PhD Theses,"Ph.D. 2011-2015 Dr. Bin Zhang [Thesis] Online Knowledge-based Evolutionary Multi-objective Optimisation. Principal Supervisor: Kamran Shafi, Co Supervisor: Hussein Abbass",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_36875&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Bin%20Zhang&sortby=rank&offset=0",Open thesis,Team,PhD Theses,39,list
item,PhD Theses,"Ph.D. 2010-2014 Dr. Shen Ren [Thesis] On Psycho-physiological Player-centric Game Experiences. Principal Supervisor: Hussein Abbass, Co Supervisor: Michael Barlow",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_13720&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Shen%20Ren&sortby=rank&offset=0",Open thesis,Team,PhD Theses,41,list
item,PhD Theses,"Ph.D. 2011-2014 Dr. Bing Wang [Thesis] Autonomous Hypothesis Generation for Knowledge Discovery in Continuous Domains, Joint Supervisors: Hussein Abbass and Kathryn Merrick",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_12683&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Bing%20Wang&sortby=rank&offset=0",Open thesis,Team,PhD Theses,43,list
item,PhD Theses,"Ph.D. 2010-2013 Dr. George Leu [Thesis] A Society of Mind agent architecture: A case study to modelling human behaviour in road traffic. Principal Supervisor: Hussein Abbass, Co Supervisor: Neville Curtis (DSTO)",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_11802&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,George%20Leu&sortby=rank&offset=0",Open thesis,Team,PhD Theses,45,list
item,PhD Theses,"Ph.D. 2010-2013 Dr. Heba Zaki Mohamed El-Fiqi [Thesis] Detection of translator stylometry using pair-wise comparative classification and network motif mining. Principal Supervisor: Hussein Abbass, Co Supervisor: Eleni Petraki",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_11698&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Heba%20Zaki%20Mohamed%20El-Fiqi&sortby=rank&offset=0",Open thesis,Team,PhD Theses,47,list
item,PhD Theses,"Ph.D. 2009-2013 Dr. Kun Wang [Thesis] Human-Guided Evolutionary-based Linguistics Approach for Automatic Story Generation. Principal Supervisor: Hussein Abbass, Co Supervisor: Vinh Bui",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_11806&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Kun%20Wang&sortby=rank&offset=0",Open thesis,Team,PhD Theses,49,list
item,PhD Theses,"Ph.D. 2008-2012 Dr. Wenjing Zhao [Thesis] On Dynamic Capacity-Demand Balance in the Terminal Area Using Multi-objective Co-evolutionary Computational Red Teaming. Principal Supervisor: Hussein Abbass, Co Supervisor: Axel Bender (DSTO)",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10906&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Wenjing%20Zhao&sortby=rank&offset=0",Open thesis,Team,PhD Theses,51,list
item,PhD Theses,"Ph.D. 2008-2012 Dr. Shir Li Wang [Thesis] Adversarial Learning through Red Teaming: From Data to Behaviour. Principal Supervisor: Hussein Abbass, Co Supervisor: Chris Lokan and Kamran Shafi",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10884&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Shir%20Li%20Wang&sortby=rank&offset=0",Open thesis,Team,PhD Theses,53,list
item,PhD Theses,"Ph.D. 2008-2012 Dr. Amr Ghoneim [Thesis] On Competency of Go Players: A Computational Approach. Principal Supervisor: Hussein Abbass, Co Supervisor: Daryl Essam",,,,PhD Theses,,"https://www.unsworks.unsw.edu.au/primo-explore/fulldisplay?docid=unsworks_10786&context=L&vid=UNSWORKS&lang=en_US&search_scope=unsworks_search_scope&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Amr%20Ghoneim&sortby=rank&offset=0",Open thesis,Team,PhD Theses,55,list
